unixdatetime,value
1452211200,0.23
1452297600,0.05
1452384000,0.74
1452729600,0.12
1452816000,0.1
1452902400,0.07
1453680000,0.07
1454112000,0.02
1454284800,0.06
1454457600,0.49
1454889600,0.03
1454976000,0.01
1455494400,0.4
1455580800,1.29
1455753600,0.01
1456272000,1.29
1456358400,0.11
1456704000,0.11
1456790400,0.29
1456876800,0.01
1457049600,0.11
1457568000,0.52
1457654400,0.12
1457827200,0.27
1457913600,0.36
1458000000,0.01
1458345600,0.03
1458432000,0.01
1458518400,0.05
1458777600,0.07
1458864000,0.16
1459123200,0.32
1459209600,0.01
1459468800,0.04
1459555200,0.19
1459641600,0.01
1459728000,0.17
1459987200,0.45
1460073600,0.04
1460160000,0.1
1460246400,0.01
1460332800,0.62
1460419200,0.04
1461283200,0.17
1461369600,0.01
1461628800,0.18
1461801600,0.31
1461974400,0.13
1462060800,0.35
1462147200,0.64
1462320000,0.1
1462406400,0.14
1462492800,0.03
1462579200,0.03
1462665600,0.02
1462838400,0.4
1462924800,0.01
1463011200,0.52
1463097600,0.17
1463184000,0.37
1463529600,0.3
1463702400,0.02
1463788800,1.17
1463875200,0.36
1463961600,0.01
1464480000,0.55
1464825600,0.1
1464912000,0.48
1465084800,0.17
1465171200,0.34
1465948800,0.21
1466035200,1.73
1466121600,0.04
1466640000,0.57
1467331200,0.23
1467590400,0.13
1467676800,0.11
1467763200,0.31
1467849600,0.1
1468454400,0.21
1468800000,0.01
1469145600,0.83
1469232000,0.41
1469318400,0.4
1469664000,0.51
1469750400,0.01
1469836800,1.07
1470009600,0.52
1470441600,0.28
1470700800,0.03
1470787200,0.66
